sv,sc,srp,sap,bv,bc,brp,bap
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
6.43,0.01,0.04,0.04,6.43,0.01,0.04,0.04
